CVR,Profit,Assets,Equity,YearEnd,Equity_sqrt,Assets_sqrt,Profit_sqrt,Default_nextyear,Age
75901712,51727,1602609,1578108,2013-12-31,1256.2276863689958,1265.9419417967003,227.43570520039285,0,10779
75881819,98488,2829976,281846,2013-12-31,530.8917027040449,1682.2532508513693,313.82797835757094,0,10777
75881819,-183927,2524458,97919,2014-12-31,312.9201176019209,1588.8543042079095,-428.86711228537916,0,11142
75500114,-23842,294741,-14869,2014-04-30,-121.93850909372314,542.9005433778824,-154.40854898612318,0,8988
75450818,59883,428399,414762,2013-12-31,644.0201860190409,654.5219629622828,244.71003248743196,0,334
75450818,-15990,188010,184010,2014-12-31,428.9638679422779,433.60119926033417,-126.45157175772866,0,699
75294719,886705,6916173,2305590,2014-05-31,1518.416938788553,2629.861783440339,941.6501473477291,0,10690
75247028,727279,11800825,10500392,2013-12-31,3240.4308355525814,3435.232888757326,852.8065431268689,0,10780
75179413,888425,8722102,3114598,2014-12-31,1764.8223706651047,2953.320504110585,942.5629952422279,0,11102
75087713,321641,14803578,2705855,2014-04-30,1644.9483274559113,3847.541812638298,567.1340229610635,0,10932
75084218,-184508,802036,691377,2014-12-31,831.4908297750493,895.5646263670758,-429.5439442012889,0,11146
75084218,382832,2118699,875885,2013-12-31,935.8872795374451,1455.575144058183,618.7341917172511,0,10781
74886515,281731,9327404,1607270,2013-09-30,1267.781526920155,3054.0798941743487,530.7833833118742,NA,10773
74833918,607737,7369758,1801946,2013-12-31,1342.3658219725353,2714.7298208109037,779.5748841516124,0,10872
74833918,617739,8257181,2119685,2014-12-31,1455.9138023935345,2873.531103015939,785.963739621619,0,11237
74796117,2891968,17210149,2037531,2014-06-30,1427.4211011471002,4148.511660824879,1700.5787250227495,0,11056
74783619,5623000,15496000,1053000,2014-06-30,1026.157882589224,3936.495903719449,2371.286570619418,0,11078
74527515,13039,245132,161521,2014-04-30,401.89675291049565,495.1080690112008,114.18844074598795,0,11027
74489311,216060,1068360,709376,2014-12-31,842.2446200481188,1033.6150153708102,464.8225467853297,0,11249
74244416,-138616,1389969,-92001,2013-12-31,-303.31666620876604,1178.9694652534474,-372.31169737197354,0,10957
74134319,362285,3364260,-10932594,2014-06-30,-3306.4473381561666,1834.19192016539,601.901154675749,0,11140
73906512,-60256,456149,339608,2013-12-31,582.7589553151457,675.3880366130273,-245.47097588106013,0,10990
73906512,-40757,249099,247511,2014-12-31,497.5047738464426,499.09818673283115,-201.8836298465034,0,11355
73863813,95734,1056639,455649,2014-09-30,675.0177775436733,1027.9294722888337,309.4091142807529,0,11262
73769213,44399,1461803,949721,2013-12-31,974.5362999909239,1209.0504538686548,210.71070214870434,0,11018
73769213,35010,1461803,984731,2014-12-31,992.3361325679923,1209.0504538686548,187.1095935541521,0,11383
73708214,259307,2828761,1707451,2013-12-31,1306.6946850737552,1681.8920892851597,509.2219555360904,0,10830
73708214,335530,2426530,1042982,2014-12-31,1021.2649019720593,1557.732326171605,579.2495144581478,0,11195
73704219,-564262,2824984,1097961,2014-12-31,1047.8363421832628,1680.7688716774833,-751.1737482100929,0,11217
73617928,1289278,9687896,4560764,2013-12-31,2135.59453080401,3112.5385138179413,1135.4637818970714,0,10843
73582210,61385,2128344,2100230,2014-12-31,1449.2170299855022,1458.8845053670286,247.759964481754,0,3845
73525519,-107740,3018013,546925,2014-04-30,739.543778284964,1737.2429306231181,-328.2377187344562,0,11031
73522919,-30493,867745,807711,2014-12-31,898.7274336527177,931.5283141161088,-174.62244987400675,0,8932
73497914,56436,8968982,2281810,2013-12-31,1510.5661190427911,2994.82587139887,237.56262332277777,0,10935
73479819,2168937,11793201,3770466,2014-04-30,1941.7687812919437,3434.123032158283,1472.7311363585684,0,11058
73460417,2291988,16679468,6462271,2014-06-30,2542.099722670218,4084.05044043288,1513.931306235524,0,11134
73396719,48010,4779263,1926162,2014-09-30,1387.8623851088407,2186.1525564333338,219.1118435867856,0,11323
73373611,100837,5182554,1510753,2014-04-30,1229.126925911234,2276.5223477927907,317.54842150450065,0,11138
73373514,-32728,1159396,1060291,2014-04-30,1029.7043264937756,1076.752524956408,-180.90881681112174,0,11138
73350611,35602,4550441,590012,2013-12-31,768.1223860818014,2133.1762702599144,188.68492255609615,0,3529
73350611,573826,5561837,1159832,2014-12-31,1076.9549665608122,2358.354723106768,757.5130361914572,0,3894
73323428,-127091,6964884,2288255,2013-12-31,1512.697920934646,2639.1066670371624,-356.498246840009,0,11078
73314313,7216300,21717502,4014190,2014-12-31,2003.5443593791479,4660.204072784796,2686.317181570337,0,11447
73314313,3582034,17496881,4013890,2013-12-31,2003.4694906586424,4182.927324255108,1892.6262177197061,0,11082
73293219,-56832,3395670,2929926,2014-12-31,1711.7026610950863,1842.734381293191,-238.39463081202143,0,11507
73281717,0,1465054,1165836,2014-09-30,1079.7388573168978,1210.394150679852,0,0,11400
73280710,56210,4924476,169548,2014-04-30,411.76206721843624,2219.1160402286314,237.08648211148605,0,11247
73220610,503881,2602778,1292651,2014-06-30,1136.9481078747613,1613.3127409154122,709.8457578939244,0,11331
73167418,-18416,186531,165331,2014-06-30,406.6091489378959,431.8923476978957,-135.70556362949898,0,11595
73164214,384000,13087000,4399000,2014-12-31,2097.3793171479497,3617.5958867734244,619.6773353931867,0,11629
73118816,270911,3859072,201242,2014-06-30,448.60004458314535,1964.4520864607516,520.4911142373134,0,11534
72688813,2966639,38677449,32795495,2014-06-30,5726.7351082444875,6219.119632230916,1722.3933929274112,0,11323
72285417,-1696556,222309,-5185886,2014-09-30,-2277.2540481904957,471.49655353989596,-1302.5190977486664,0,5913
72285417,-1842108,2269906,-3489330,2013-09-30,-1867.9748392309784,1506.6207220133406,-1357.2427933129725,0,5548
71458814,652130,3476539,1140366,2014-04-30,1067.8792066521382,1864.5479344870703,807.5456643435094,0,11410
71412911,-128232,1486216,112972,2014-04-30,336.113076210968,1219.1045894425959,-358.0949594730426,0,4562
71378411,1624553,15406334,24680,2014-04-30,157.09869509324386,3925.090317432199,1274.5795385145643,0,11451
